"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",1971.81658364813
"2","member","Sunday",839.424823092295
"3","casual","Monday",1662.89243584393
"4","member","Monday",714.138556043983
"5","casual","Tuesday",1505.07261657684
"6","member","Tuesday",720.766958593342
"7","casual","Wednesday",1458.27527262365
"8","member","Wednesday",716.857505823292
"9","casual","Thursday",1483.6030687815
"10","member","Thursday",721.194520771
"11","casual","Friday",1635.76112751557
"12","member","Friday",748.724941777562
"13","casual","Saturday",1928.34960699711
"14","member","Saturday",836.28692639887
